Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Category_Code,Category_Label,Category_Hidden,Category_Note,Category_Order,M6080_Value,M6080_Footnote_Code,M6080_Footnote_Text,M6080_MissingValue_Code,M6080_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2000,00,"Overall index: Productive capacities index",False,"Productive capacities index (PCI): The overall PCI score is the geometric average of the values of the eight PCI categories, namely natural capital, human capital, energy, transport, ICT, institutions, structural change and private sector.",1,14.21,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,10,"Structural Change",False,"Structural change represents the shift of resources toward higher-productivity activities, both driving and resulting from productive capacity development. It reflects economic transformation from agriculture to industry and services or toward more technology-intensive production. This evolution creates a virtuous cycle of productivity, competitiveness, and investment, continually sustaining growth and upgrading over time.",9,34.25,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,20,"Energy",False,"Energy underpins all economic and social activity by enabling production, investment, and innovation. Reliable and affordable supply supports industrialization and technological progress, while shortages hinder growth and stability. It drives structural transformation and determines how firms and households adopt modern technologies and join wider value chains.",4,25.36,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,30,"Human capital",False,"Human capital encompasses the education, skills, and health of the population, as well as the integration of research and development into society. It supports individual productivity, societal innovation, and structural transformation, driving long-term development and competitiveness.",2,3.24,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,40,"Institutions",False,"Institutions provide the framework for economic decision-making and are central to sustainable development and transformation. They shape laws, regulations, and governance that enable markets, protect rights, and ensure effective policies. Strong institutions lower uncertainty and costs, encourage investment and innovation, and, within productive capacities, sustain planning, stability, and accountability.",7,22.16,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,50,"Natural capital",False,"Natural capital includes a country’s extractive and agricultural resources and the rents they generate. It shapes development paths, influences structural transformation, and supports productive diversification, though high dependence on commodities can create economic volatility if resources are not managed strategically.",3,40.3,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,60,"Information and Communication Technology (ICT)",False,"Information and Communication Technologies (ICTs) are key to modern infrastructure, driving the flow of ideas, data, and innovation. They foster structural transformation by spreading technology, creating new sectors, and improving productivity. ICTs also reduce information gaps, enhance inclusion and connectivity, and the PCI measures their capacity through access and usage indicators.",6,3.29,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,70,"Transport",False,"Transport infrastructure underpins productive capacities by ensuring the efficient flow of people, goods, and information. Reliable networks lower costs, expand markets, and connect regions, driving structural transformation and cohesion. They also spread knowledge and innovation by linking firms and consumers. The PCI captures capacity and use across road, rail, air, and maritime transport.",5,13.09,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,80,"Private sector",False,"Private sector development is central to building productive capacities by driving investment, innovation, and job creation. A dynamic and diverse private sector promotes entrepreneurship, strengthens industrial linkages, and supports structural transformation. Its role in the PCI highlights its contribution to resource mobilization, production, and sustained economic growth.",8,15.35,16,"Half or more of the indicators imputed. Value stable across runs (variation within +/- 1 index point).",,
024,"Angola",True,1940,2102,5,True,True,,38,2001,00,"Overall index: Productive capacities index",False,"Productive capacities index (PCI): The overall PCI score is the geometric average of the values of the eight PCI categories, namely natural capital, human capital, energy, transport, ICT, institutions, structural change and private sector.",1,16.24,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,10,"Structural Change",False,"Structural change represents the shift of resources toward higher-productivity activities, both driving and resulting from productive capacity development. It reflects economic transformation from agriculture to industry and services or toward more technology-intensive production. This evolution creates a virtuous cycle of productivity, competitiveness, and investment, continually sustaining growth and upgrading over time.",9,36.01,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,20,"Energy",False,"Energy underpins all economic and social activity by enabling production, investment, and innovation. Reliable and affordable supply supports industrialization and technological progress, while shortages hinder growth and stability. It drives structural transformation and determines how firms and households adopt modern technologies and join wider value chains.",4,24.85,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,30,"Human capital",False,"Human capital encompasses the education, skills, and health of the population, as well as the integration of research and development into society. It supports individual productivity, societal innovation, and structural transformation, driving long-term development and competitiveness.",2,9.04,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,40,"Institutions",False,"Institutions provide the framework for economic decision-making and are central to sustainable development and transformation. They shape laws, regulations, and governance that enable markets, protect rights, and ensure effective policies. Strong institutions lower uncertainty and costs, encourage investment and innovation, and, within productive capacities, sustain planning, stability, and accountability.",7,23.66,13,"All indicators imputed. Value stable across runs (variation within +/- 1 index point).",,
024,"Angola",True,1940,2102,5,True,True,,38,2001,50,"Natural capital",False,"Natural capital includes a country’s extractive and agricultural resources and the rents they generate. It shapes development paths, influences structural transformation, and supports productive diversification, though high dependence on commodities can create economic volatility if resources are not managed strategically.",3,39.82,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,60,"Information and Communication Technology (ICT)",False,"Information and Communication Technologies (ICTs) are key to modern infrastructure, driving the flow of ideas, data, and innovation. They foster structural transformation by spreading technology, creating new sectors, and improving productivity. ICTs also reduce information gaps, enhance inclusion and connectivity, and the PCI measures their capacity through access and usage indicators.",6,3.34,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,70,"Transport",False,"Transport infrastructure underpins productive capacities by ensuring the efficient flow of people, goods, and information. Reliable networks lower costs, expand markets, and connect regions, driving structural transformation and cohesion. They also spread knowledge and innovation by linking firms and consumers. The PCI captures capacity and use across road, rail, air, and maritime transport.",5,11.74,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,80,"Private sector",False,"Private sector development is central to building productive capacities by driving investment, innovation, and job creation. A dynamic and diverse private sector promotes entrepreneurship, strengthens industrial linkages, and supports structural transformation. Its role in the PCI highlights its contribution to resource mobilization, production, and sustained economic growth.",8,16.17,16,"Half or more of the indicators imputed. Value stable across runs (variation within +/- 1 index point).",,
024,"Angola",True,1940,2102,5,True,True,,38,2002,00,"Overall index: Productive capacities index",False,"Productive capacities index (PCI): The overall PCI score is the geometric average of the values of the eight PCI categories, namely natural capital, human capital, energy, transport, ICT, institutions, structural change and private sector.",1,17.45,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,10,"Structural Change",False,"Structural change represents the shift of resources toward higher-productivity activities, both driving and resulting from productive capacity development. It reflects economic transformation from agriculture to industry and services or toward more technology-intensive production. This evolution creates a virtuous cycle of productivity, competitiveness, and investment, continually sustaining growth and upgrading over time.",9,49.97,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,20,"Energy",False,"Energy underpins all economic and social activity by enabling production, investment, and innovation. Reliable and affordable supply supports industrialization and technological progress, while shortages hinder growth and stability. It drives structural transformation and determines how firms and households adopt modern technologies and join wider value chains.",4,26.98,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,30,"Human capital",False,"Human capital encompasses the education, skills, and health of the population, as well as the integration of research and development into society. It supports individual productivity, societal innovation, and structural transformation, driving long-term development and competitiveness.",2,8.42,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,40,"Institutions",False,"Institutions provide the framework for economic decision-making and are central to sustainable development and transformation. They shape laws, regulations, and governance that enable markets, protect rights, and ensure effective policies. Strong institutions lower uncertainty and costs, encourage investment and innovation, and, within productive capacities, sustain planning, stability, and accountability.",7,25.16,0,,,
